threads,schedule,chunk,parallel_time,speedup,efficiency,verify
1,STATIC,1,4.478956,1.511125,1.511125,OK
2,STATIC,1,1.759400,3.846916,1.923458,OK
4,STATIC,1,1.021587,6.625248,1.656312,OK
8,STATIC,1,0.946812,7.148481,0.893560,OK
16,STATIC,1,1.077437,6.281820,0.392614,OK
1,STATIC,4,3.350295,2.020200,2.020200,OK
2,STATIC,4,1.482539,4.565318,2.282659,OK
4,STATIC,4,1.195238,5.662691,1.415673,OK
8,STATIC,4,1.009448,6.704915,0.838114,OK
16,STATIC,4,1.058322,6.395281,0.399705,OK
1,STATIC,16,4.793132,1.412076,1.412076,OK
2,STATIC,16,2.628287,2.575162,1.287581,OK
4,STATIC,16,1.208709,5.599583,1.399896,OK
8,STATIC,16,1.365165,4.957838,0.619730,OK
16,STATIC,16,0.994516,6.805585,0.425349,OK
1,STATIC,64,5.371611,1.260007,1.260007,OK
2,STATIC,64,1.749115,3.869538,1.934769,OK
4,STATIC,64,1.129749,5.990948,1.497737,OK
8,STATIC,64,1.034569,6.542113,0.817764,OK
16,STATIC,64,1.024343,6.607421,0.412964,OK
1,DYNAMIC,1,4.260016,1.588788,1.588788,OK
2,DYNAMIC,1,2.022770,3.346038,1.673019,OK
4,DYNAMIC,1,1.023016,6.615988,1.653997,OK
8,DYNAMIC,1,1.102116,6.141155,0.767644,OK
16,DYNAMIC,1,1.620719,4.176088,0.261005,OK
1,DYNAMIC,4,5.068229,1.335430,1.335430,OK
2,DYNAMIC,4,2.577121,2.626289,1.313144,OK
4,DYNAMIC,4,1.449877,4.668164,1.167041,OK
8,DYNAMIC,4,1.079838,6.267855,0.783482,OK
16,DYNAMIC,4,1.985514,3.408822,0.213051,OK
1,DYNAMIC,16,5.880252,1.151016,1.151016,OK
2,DYNAMIC,16,1.710819,3.956154,1.978077,OK
4,DYNAMIC,16,1.050725,6.441519,1.610380,OK
8,DYNAMIC,16,0.879298,7.697350,0.962169,OK
16,DYNAMIC,16,1.088341,6.218884,0.388680,OK
1,DYNAMIC,64,5.043765,1.341907,1.341907,OK
2,DYNAMIC,64,3.207265,2.110291,1.055146,OK
4,DYNAMIC,64,1.785789,3.790069,0.947517,OK
8,DYNAMIC,64,1.733423,3.904566,0.488071,OK
16,DYNAMIC,64,2.114313,3.201165,0.200073,OK
1,GUIDED,1,8.899625,0.760511,0.760511,OK
2,GUIDED,1,3.826797,1.768650,0.884325,OK
4,GUIDED,1,1.425115,4.749276,1.187319,OK
8,GUIDED,1,1.543468,4.385103,0.548138,OK
16,GUIDED,1,1.499804,4.512766,0.282048,OK
1,GUIDED,4,5.307947,1.275119,1.275119,OK
2,GUIDED,4,1.881100,3.598035,1.799018,OK
4,GUIDED,4,0.909066,7.445296,1.861324,OK
8,GUIDED,4,0.906556,7.465906,0.933238,OK
16,GUIDED,4,0.888974,7.613571,0.475848,OK
1,GUIDED,16,3.413635,1.982715,1.982715,OK
2,GUIDED,16,1.510531,4.480720,2.240360,OK
4,GUIDED,16,1.490227,4.541766,1.135442,OK
8,GUIDED,16,1.111565,6.088951,0.761119,OK
16,GUIDED,16,1.222048,5.538462,0.346154,OK
1,GUIDED,64,7.016307,0.964648,0.964648,OK
2,GUIDED,64,3.408431,1.985742,0.992871,OK
4,GUIDED,64,1.879606,3.600895,0.900224,OK
8,GUIDED,64,1.307418,5.176818,0.647102,OK
16,GUIDED,64,1.172616,5.771938,0.360746,OK